-0.003	2.329143476168678e-12
0.000	6.329143476168678e-12
0.001	9.74660903486025e-13
0.002	7.437844921607479e-13
0.003	6.304105622075085e-13
0.004	5.594266126183496e-13
0.005	5.095317408035818e-13
0.006	4.719662899798031e-13
0.007	4.423597150711252e-13
0.008	4.182495066715555e-13
0.009000000000000001	3.9812616461448645e-13
0.01	3.8100500937443647e-13
0.011	3.6621220875108905e-13
0.012	3.532687581242464e-13
0.013000000000000001	3.41823422529483e-13
0.014	3.316119302352952e-13
0.015	3.2243106443847447e-13
0.016	3.14121617317146e-13
0.017	3.0655682931801325e-13
0.018000000000000002	2.996343405835626e-13
0.019	2.932704581551781e-13
0.02	2.873959898090913e-13
0.021	2.819531619932414e-13
0.022	2.768933032054502e-13
0.023	2.7217507764179626e-13
0.024	2.6776312089759417e-13
0.025	2.636269737707192e-13
0.026000000000000002	2.5974024006470777e-13
0.027	2.5607991477585867e-13
0.028	2.526258433405882e-13
0.029	2.4936028273925016e-13
0.03	2.462675425171909e-13
0.031	2.4333368906493584e-13
0.032	2.405463003837914e-13
0.033	2.37894261451403e-13
0.034	2.353675924711999e-13
0.035	2.3295730393457294e-13
0.036000000000000004	2.3065527368290905e-13
0.037	2.2845414212713436e-13
0.038	2.2634722253686238e-13
0.039	2.243284239019877e-13
0.04	2.22392184335379e-13
0.041	2.2053341335499766e-13
0.042	2.1874744167897417e-13
0.043000000000000003	2.1702997740429662e-13
0.044	2.1537706763129104e-13
0.045	2.137850647515848e-13
0.046	2.1225059674415554e-13
0.047	2.1077054092813282e-13
0.048	2.0934200070673048e-13
0.049	2.0796228490761784e-13
0.05	2.066288893839409e-13
0.051000000000000004	2.0533948058935107e-13
0.052000000000000005	2.0409188088154654e-13
0.053	2.028840553433935e-13
0.054	2.017140999398713e-13
0.055	2.0058023085372866e-13
0.056	1.9948077486371234e-13
0.057	1.984141606470318e-13
0.058	1.9737891090297684e-13
0.059000000000000004	1.9637363520763676e-13
0.06	1.953970235208849e-13
0.061	1.9444784027643375e-13
0.062	1.9352491899410967e-13
0.063	1.926271573606971e-13
0.064	1.917535127319769e-13
0.065	1.9090299801400921e-13
0.066	1.9007467788647723e-13
0.067	1.892676653350368e-13
0.068	1.8848111846325871e-13
0.069	1.8771423755792916e-13
0.07	1.8696626238427607e-13
0.07100000000000001	1.8623646969015231e-13
0.07200000000000001	1.8552417090038518e-13
0.073	1.848287099844211e-13
0.074	1.8414946148210384e-13
0.075	1.8348582867392506e-13
0.076	1.8283724188344335e-13
0.077	1.8220315690074502e-13
0.078	1.815830535169026e-13
0.079	1.8097643416032377e-13
0.08	1.8038282262674332e-13
0.081	1.7980176289536566e-13
0.082	1.7923281802435308e-13
0.083	1.7867556911946372e-13
0.084	1.78129614370197e-13
0.085	1.7759456814830137e-13
0.08600000000000001	1.770700601639422e-13
0.08700000000000001	1.7655573467523588e-13
0.088	1.7605124974722179e-13
0.089	1.7555627655666602e-13
0.09	1.7507049873940168e-13
0.091	1.7459361177717284e-13
0.092	1.7412532242119705e-13
0.093	1.736653481498901e-13
0.094	1.7321341665839305e-13
0.095	1.7276926537773394e-13
0.096	1.723326410216189e-13
0.097	1.7190329915900944e-13
0.098	1.7148100381077462e-13
0.099	1.710655270688465e-13
0.1	1.7065664873641238e-13
0.101	1.7025415598779918e-13
0.10200000000000001	1.6985784304679219e-13
0.10300000000000001	1.6946751088223035e-13
0.10400000000000001	1.6908296691979834e-13
0.105	1.6870402476901378e-13
0.106	1.6833050396448241e-13
0.107	1.6796222972055102e-13
0.108	1.6759903269855596e-13
0.109	1.6724074878591631e-13
0.11	1.66887218886372e-13
0.111	1.6653828872071417e-13
0.112	1.6619380863740142e-13
0.113	1.658536334324905e-13
0.114	1.6551762217835322e-13
0.115	1.6518563806068195e-13
0.116	1.6485754822331746e-13
0.117	1.6453322362046895e-13
0.11800000000000001	1.6421253887591306e-13
0.11900000000000001	1.638953721487951e-13
0.12	1.6358160500567208e-13
0.121	1.6327112229846186e-13
0.122	1.629638120479847e-13
0.123	1.6265956533279932e-13
0.124	1.623582761830561e-13
0.125	1.620598414791062e-13
0.126	1.6176416085461938e-13
0.127	1.6147113660398146e-13
0.128	1.6118067359374778e-13
0.129	1.608926791779558e-13
0.13	1.6060706311709358e-13
0.131	1.6032373750055014e-13
0.132	1.6004261667236842e-13
0.133	1.5976361716014385e-13
0.134	1.5948665760690972e-13
0.135	1.5921165870587022e-13
0.136	1.589385431378365e-13
0.137	1.5866723551124563e-13
0.138	1.583976623046295e-13
0.139	1.581297518114255e-13
0.14	1.5786343408701587e-13
0.14100000000000001	1.5759864089789044e-13
0.14200000000000002	1.5733530567283801e-13
0.14300000000000002	1.5707336345606872e-13
0.14400000000000002	1.5681275086218113e-13
0.145	1.5655340603288924e-13
0.146	1.5629526859542996e-13
0.147	1.5603827962257455e-13
0.148	1.5578238159417426e-13
0.149	1.555275183601668e-13
0.15	1.552736351049851e-13
0.151	1.5502067831330197e-13
0.152	1.5476859573705356e-13
0.153	1.545173363636856e-13
0.154	1.5426685038556848e-13
0.155	1.5401708917053274e-13
0.156	1.537680052334732e-13
0.157	1.5351955220897906e-13
0.158	1.5327168482494384e-13
0.159	1.5302435887711513e-13
0.16	1.527775312045431e-13
0.161	1.5253115966589022e-13
0.162	1.522852031165659e-13
0.163	1.5203962138665172e-13
0.164	1.517943752595837e-13
0.165	1.5154942645156045e-13
0.166	1.5130473759164679e-13
0.167	1.5106027220254433e-13
0.168	1.5081599468200129e-13
0.169	1.5057187028483497e-13
